Frequency,Impedance,Phase,Real,Imaginary,Magnitude
94000,4706.507817,-39.12121413,428,-915,1010.152959
94175,4672.686719,-39.32648046,429,-920,1015.106398
94350,4675.351293,-39.26023098,432,-918,1014.567888
94525,4684.556773,-39.10136781,434,-918,1015.421095
94700,4695.352644,-38.83017763,438,-913,1012.626782
94875,4693.446625,-39.01932632,438,-913,1012.626782
95050,4700.39982,-38.67391152,445,-908,1011.181982
95225,4706.976945,-38.70775565,446,-906,1009.827708
95400,4737.361726,-38.59617332,450,-898,1004.442134
95575,4743.719502,-38.59965311,450,-896,1002.654477
95750,4735.127799,-38.56481601,439,-901,1002.25845
95925,4751.905808,-38.45283282,452,-891,999.0920878
96100,4817.582349,-37.51889382,462,-869,984.1773214
96275,4795.358902,-38.00042134,462,-877,991.248203
96450,4777.863824,-38.01057863,464,-878,993.0659595
96625,4776.050122,-37.93407364,467,-879,995.3542083
96800,4767.941119,-38.0394498,467,-882,998.004509
96975,4747.149986,-38.31789125,468,-884,1000.239971
97150,4732.976091,-38.3439459,470,-889,1005.594849
97325,4795.414577,-37.71732224,476,-869,990.8264227
97500,4851.094197,-37.27787875,480,-855,980.5228197
97675,4841.062582,-37.02602374,486,-853,981.7357078
97850,4893.731596,-36.86348878,485,-840,969.9613394
98025,4832.526257,-37.13715445,485,-854,982.1104826
98200,4781.408597,-37.91023307,484,-866,992.074594
98375,4782.598535,-37.64279475,486,-866,993.0518617
98550,4760.768053,-37.71765154,488,-866,994.0321926
98725,4757.251949,-37.67338687,493,-868,998.2349423
98900,4808.293214,-37.14552698,494,-853,985.7205486
99075,4950.872968,-36.18931674,502,-819,960.6065792
99250,4931.55625,-36.39714112,503,-823,964.540305
99425,4907.221804,-36.23288239,506,-823,966.108172
