Frequency,Impedance,Phase,Real,Imaginary,Magnitude
26150,3343.902487,-42.13975892,-597,-1315,1444.172427
26320,3330.134121,-42.43931911,-600,-1317,1447.23495
26490,3320.876552,-42.50646425,-601,-1322,1452.200055
26660,3304.480241,-42.80838963,-609,-1321,1454.620913
26830,3292.350867,-42.79291815,-612,-1325,1459.509849
27000,3274.479052,-42.90736023,-618,-1331,1467.475724
27170,3276.87482,-42.95359382,-614,-1338,1472.154883
27340,3271.108983,-42.96749924,-621,-1335,1472.367481
27510,3260.195594,-43.40335437,-620,-1343,1479.20553
27680,3243.349543,-43.47644998,-625,-1347,1484.935689
27850,3232.717714,-43.5216533,-627,-1352,1490.313054
28020,3235.236008,-43.8215875,-628,-1353,1491.641043
28190,3214.573528,-43.77600086,-631,-1360,1499.253481
28360,3196.612909,-43.88949257,-634,-1363,1503.238171
28530,3186.486435,-44.02540525,-637,-1368,1509.03711
28700,3178.62298,-44.27338161,-640,-1373,1514.836295
28870,3171.332683,-44.48206971,-642,-1376,1518.400474
29040,3176.612162,-44.39822772,-640,-1378,1519.369606
29210,3160.680448,-44.65699614,-645,-1382,1525.106226
29380,3141.571737,-44.84555617,-649,-1386,1530.423798
29550,3147.02162,-45.06268986,-652,-1389,1534.413569
29720,3134.386137,-45.31467403,-654,-1394,1539.789596
29890,3120.184455,-45.2342013,-655,-1399,1544.741402
30060,3114.409549,-45.3230172,-655,-1404,1549.271119
30230,3100.567924,-45.59914842,-659,-1406,1552.777189
30400,3101.454314,-45.59966411,-660,-1409,1555.918057
30570,3090.152516,-45.6767201,-662,-1411,1558.577877
30740,3071.785358,-45.81718461,-666,-1419,1567.519378
30910,3063.262211,-46.00209312,-669,-1422,1571.51042
31080,3058.282495,-46.04415678,-670,-1425,1574.650755
31250,3049.20985,-46.09550863,-671,-1431,1580.506881
31420,3036.173124,-46.28604889,-674,-1435,1585.402473
31590,3028.118708,-46.4779697,-676,-1439,1589.873265
31760,3017.280858,-46.59915727,-678,-1444,1595.249197
31930,3017.162731,-46.80732153,-681,-1444,1596.526542
32100,3004.603923,-46.72046934,-684,-1451,1604.137463
32270,2997.484213,-46.79994901,-683,-1456,1608.236612
32440,2992.651773,-46.99153166,-688,-1462,1615.793304
32610,2979.667354,-47.1076446,-688,-1466,1619.413474
32780,2968.985015,-47.25599119,-686,-1471,1623.094883
32950,2957.806023,-47.35324943,-691,-1473,1627.024892
33120,2954.185776,-47.55499803,-696,-1476,1631.867642
33290,2943.660661,-47.46276805,-696,-1480,1635.486472
33460,2939.852703,-47.63401994,-698,-1486,1641.76734
33630,2928.926279,-47.7091927,-699,-1492,1647.624047
33800,2911.550559,-47.92625501,-698,-1500,1654.449757
33970,2917.572284,-48.091868,-700,-1501,1656.200773
34140,2915.494881,-48.16561532,-699,-1505,1659.405315
34310,2896.108175,-48.5418392,-706,-1506,1663.271475
34480,2882.481038,-48.58412487,-709,-1509,1667.261827
34650,2873.310074,-48.74291726,-713,-1512,1671.679694
34820,2865.557317,-48.57705556,-713,-1518,1677.108524
34990,2863.155428,-48.88456089,-716,-1522,1682.004756
35160,2857.065126,-48.96875227,-715,-1527,1686.106165
35330,2846.32216,-48.91160391,-716,-1531,1690.152952
35500,2836.675691,-49.07436051,-718,-1537,1696.43538
35670,2833.336132,-49.12298417,-723,-1543,1703.98885
35840,2827.7051,-49.27853789,-720,-1546,1705.437187
36010,2828.432038,-49.48742622,-722,-1547,1707.188625
36180,2807.602079,-49.50035997,-725,-1556,1716.613235
36350,2802.347385,-49.69565713,-728,-1558,1719.694159
36520,2786.006503,-49.8132268,-730,-1561,1723.258831
36690,2777.974491,-49.86337722,-730,-1569,1730.508885
36860,2775.419361,-49.9403286,-733,-1572,1734.495027
37030,2771.346837,-50.04161422,-732,-1576,1737.699629
37200,2767.463511,-50.06547091,-739,-1580,1744.282374
37370,2748.211451,-50.16280283,-735,-1587,1748.940822
37540,2745.170324,-50.36165788,-739,-1589,1752.438872
37710,2749.027974,-50.1614424,-738,-1594,1756.553444
37880,2733.864539,-50.45511643,-740,-1600,1762.83862
38050,2714.684149,-50.59945677,-741,-1605,1767.796934
38220,2716.104184,-50.72304916,-742,-1608,1770.939863
38390,2707.567373,-50.8897922,-745,-1610,1774.013811
38560,2694.712525,-50.96263088,-748,-1617,1781.626504
38730,2693.583623,-51.0185685,-749,-1621,1785.676902
38900,2682.885938,-50.96440117,-749,-1627,1791.125345
39070,2681.444485,-51.11852337,-752,-1634,1798.738447
39240,2669.629732,-51.20013261,-753,-1634,1799.156747
39410,2661.773903,-51.41809425,-755,-1638,1803.626624
39580,2657.055053,-51.46963054,-754,-1642,1806.84255
