Frequency,Impedance,Phase,Real,Imaginary,Magnitude,
 1000 , 3505.1537975165 , 15.6950921187878 ,-18996 ,-21650 , 28802.2658136474 
 1190 , 3264.30252206578 , 7.81691196980302 ,-10642 ,-27511 , 29497.5810025161 
 1380 , 3046.60153547321 , 0.634205527682354 ,-4069 ,-27108 , 27411.6840963849 
 1570 , 2781.36315567114 ,-3.91942715619956 ,-481 ,-24089 , 24093.801734056 
 1760 , 2489.15325859548 ,-4.32750246765761 ,-221 ,-21262 , 21263.1485203862 
 1950 , 2380.11203526822 ,-0.817771236633007 ,-1332 ,-20459 , 20502.3146254271 
 2140 , 2440.1994327437 , 1.10940403116848 ,-1585 ,-20912 , 20971.9805693215 
 2330 , 2486.87398825592 , 0.337927013707315 ,-1147 ,-21313 , 21343.8416879436 
 2520 , 2469.80282836203 ,-0.819349419458831 ,-445 ,-21206 , 21210.6685656063 
 2710 , 2415.02459514966 ,-1.02496949575192 ,-133 ,-20744 , 20744.4263598683 
 2900 , 2384.67196930393 ,-0.22546051494345 ,-261 ,-20503 , 20504.6611774006 
 3090 , 2396.13861463151 , 0.541402259758627 ,-277 ,-20595 , 20596.8627222691 
 3280 , 2414.00483760026 , 0.558139517823747 ,-115 ,-20727 , 20727.3190258654 
 3470 , 2414.47379741165 , 0.216555858954337 , 155 ,-20737 , 20737.5792704935 
 3660 , 2398.58904120171 , 0.135067391613859 , 355 ,-20603 , 20606.0581868537 
 3850 , 2387.05559635098 , 0.461219518875453 , 385 ,-20504 , 20507.6142200891 
 4040 , 2390.32170527201 , 0.843905009117691 , 428 ,-20535 , 20539.4598030231 
 4230 , 2397.22510815671 , 0.927260628903298 , 542 ,-20599 , 20606.1293065923 
 4420 , 2400.50081129105 , 0.764401848178011 , 702 ,-20609 , 20620.9525725656 
 4610 , 2393.45458776585 , 0.783189640443311 , 870 ,-20544 , 20562.4131852271 
 4800 , 2386.47858406016 , 0.978104168786217 , 926 ,-20486 , 20506.9176620964 
 4990 , 2388.62689271726 , 1.2095170306859 , 973 ,-20500 , 20523.0779611636 
 5180 , 2393.00669613777 , 1.326542328198 , 1090 ,-20536 , 20564.9069047249 
 5370 , 2395.28354676619 , 1.19126520093761 , 1204 ,-20549 , 20584.2419583525 
 5560 , 2392.96022797632 , 1.2451436495042 , 1334 ,-20509 , 20552.3389666481 
 5750 , 2388.16417092445 , 1.31123060044376 , 1394 ,-20462 , 20509.4290510487 
 5940 , 2388.47056504321 , 1.53642047209115 , 1468 ,-20456 , 20508.6069736586 
 6130 , 2392.20574092001 , 1.62922736985297 , 1538 ,-20477 , 20534.6773288503 
 6320 , 2394.68070951643 , 1.63406374780664 , 1654 ,-20490 , 20556.6489486978 
 6510 , 2392.4273991454 , 1.64368617257281 , 1777 ,-20468 , 20544.9933803835 
 6700 , 2389.94143239094 , 1.69264692316307 , 1845 ,-20434 , 20517.1240918409 
 6890 , 2387.28531788408 , 1.85884246765141 , 1924 ,-20413 , 20503.4715353279 
 7080 , 2389.35965683933 , 1.94968245547886 , 1991 ,-20414 , 20510.8624148279 
 7270 , 2389.98746919631 , 2.00046790634696 , 2078 ,-20417 , 20522.4748263946 
 7460 , 2389.88012872179 , 2.01915195447702 , 2166 ,-20406 , 20520.63332356 
 7650 , 2387.99747380608 , 2.09246363512443 , 2245 ,-20386 , 20509.2423312028 
 7840 , 2387.46445216926 , 2.18658831544906 , 2312 ,-20373 , 20503.7672879888 
 8030 , 2388.38057365914 , 2.28661425151472 , 2389 ,-20372 , 20511.5992794321 
 8220 , 2390.15376205511 , 2.30874349165276 , 2467 ,-20374 , 20522.8157181221 
 8410 , 2389.62945303333 , 2.35317655489013 , 2556 ,-20361 , 20520.8054666477 
 8600 , 2388.32536985595 , 2.38816910207106 , 2623 ,-20339 , 20507.4388942159 
 8790 , 2388.86919175596 , 2.52767700316957 , 2695 ,-20329 , 20506.8589988813 
 8980 , 2388.4640357633 , 2.56839305445305 , 2762 ,-20324 , 20510.8171460817 
 9170 , 2389.19038574792 , 2.63841515010699 , 2847 ,-20320 , 20518.4748214871 
 9360 , 2389.99690125753 , 2.6266472392947 , 2919 ,-20306 , 20514.731219297 
 9550 , 2388.43610249926 , 2.70276635154318 , 2997 ,-20290 , 20510.1464889942 
 9740 , 2387.94464038214 , 2.77153378263461 , 3061 ,-20274 , 20503.7751889743 
 9930 , 2388.369969161 , 2.85942552149652 , 3125 ,-20264 , 20503.5441082755 
 10120 , 2390.42569420122 , 2.90509058657983 , 3198 ,-20262 , 20512.8215514102 
 10310 , 2389.57996107429 , 3.03553124062478 , 3314 ,-20254 , 20523.3309187373 
 10500 , 2389.69549881979 , 2.95632195516839 , 3358 ,-20235 , 20511.7378347131 
 10690 , 2388.31510339634 , 3.04210395618867 , 3437 ,-20214 , 20504.1158063448 
 10880 , 2387.34042767807 , 3.15278796452066 , 3510 ,-20197 , 20499.7294860201 
 11070 , 2387.02295461403 , 3.14008435066609 , 3562 ,-20189 , 20500.8186421909 
 11260 , 2388.19403981642 , 3.22796898104093 , 3625 ,-20178 , 20501.0319008581 
 11450 , 2387.74848311436 , 3.305144376263 , 3713 ,-20165 , 20503.9897093224 
 11640 , 2388.12285986004 , 3.36413367560681 , 3781 ,-20151 , 20502.6525600957 
 11830 , 2388.3889291858 , 3.38895127779494 , 3837 ,-20138 , 20500.2832419457 
 12020 , 2387.78065755241 , 3.42643362575143 , 3905 ,-20129 , 20504.284088941 
 12210 , 2388.59177111455 , 3.5009907563192 , 3980 ,-20114 , 20503.9848809933 
