Frequency,Impedance,Phase,Real,Imaginary,Magnitude,Rs,Cs
15060,31896.50374,-80.96516812,-1453,-495,1535.002932,5008.863714,3.355E-10
15250,31659.02131,-80.87636321,-1462,-504,1546.434609,5020.025417,3.33888E-10
15440,31186.79688,-80.67545909,-1481,-521,1569.968789,5053.087422,3.34963E-10
15630,30803.58841,-80.67063097,-1498,-531,1589.328475,4993.55889,3.35013E-10
15820,30382.99897,-80.51259549,-1516,-546,1611.326162,5008.053539,3.35724E-10
16010,30095.67515,-80.44822657,-1529,-557,1627.295302,4994.039093,3.3497E-10
16200,29749.28748,-80.23041716,-1543,-573,1645.95808,5048.047778,3.35113E-10
16390,29451.15676,-80.07430553,-1556,-587,1663.040889,5076.52117,3.34739E-10
16580,29072.19829,-80.16797054,-1575,-595,1683.641886,4964.378312,3.35121E-10
16770,28724.80951,-80.07934483,-1592,-608,1704.150228,4948.83145,3.35422E-10
16960,28429.5016,-79.7507101,-1604,-628,1722.55624,5058.499589,3.35451E-10
17150,28153.79969,-79.65722702,-1617,-641,1739.416569,5054.639285,3.35083E-10
17340,27908.36336,-79.67699015,-1630,-650,1754.821928,5001.104105,3.34305E-10
17530,27602.35548,-79.54937909,-1644,-665,1773.403789,5006.737756,3.34484E-10
17720,27238.47814,-79.44955125,-1664,-680,1797.580596,4987.398239,3.35426E-10
17910,26962.28282,-79.20748291,-1677,-698,1816.46167,5048.769017,3.35534E-10
18100,26779.18063,-79.06826275,-1685,-713,1829.643135,5078.386142,3.34438E-10
18290,26518.08664,-78.90562404,-1697,-728,1846.562482,5102.759898,3.34407E-10
18480,26274.41413,-78.96939246,-1711,-737,1862.978798,5027.171824,3.33966E-10
18670,26033.10399,-79.10352769,-1727,-743,1880.04734,4921.167387,3.3348E-10
18860,25723.26026,-78.90288648,-1743,-762,1902.286256,4951.020984,3.34324E-10
19050,25467.73797,-78.70987215,-1756,-780,1921.441126,4986.001918,3.34534E-10
19240,25174.69786,-78.5983767,-1774,-796,1944.400165,4976.662997,3.35217E-10
19430,24908.53155,-78.4692715,-1789,-812,1964.653914,4979.052371,3.35639E-10
19620,24736.6031,-78.25634297,-1797,-829,1979.002274,5034.724043,3.34955E-10
19810,24484.60115,-78.26892464,-1813,-842,1998.982991,4978.169048,3.35142E-10
20000,24246.42433,-78.16241992,-1826,-857,2017.108078,4973.864043,3.35349E-10
20190,24053.2751,-77.9983035,-1838,-874,2035.21989,5001.653737,3.35063E-10
20380,23822.93321,-77.94650648,-1852,-888,2053.886073,4974.820118,3.35213E-10
20570,23596.66675,-77.79898613,-1866,-906,2074.317237,4986.968921,3.35487E-10
20760,23373.09987,-77.63012089,-1879,-925,2094.341424,5007.028752,3.35812E-10
20950,23187.79182,-77.5794593,-1891,-938,2110.85883,4987.35671,3.35491E-10
21140,23020.62556,-77.47980062,-1900,-953,2125.607913,4990.498442,3.35019E-10
21330,22827.47446,-77.35376369,-1912,-970,2143.978545,4997.635226,3.35008E-10
21520,22621.75955,-77.23012698,-1925,-987,2163.283153,5000.216885,3.35233E-10
21710,22431.62303,-77.16170207,-1938,-1002,2181.707588,4984.312519,3.35207E-10
21900,22225.76891,-76.94986521,-1950,-1024,2202.515834,5018.657711,3.35662E-10
22090,22086.31839,-76.83468117,-1958,-1039,2216.593107,5030.413456,3.35032E-10
