Frequency,Impedance,Phase,Real,Imaginary,Magnitude,Rs,Cs
15060,5011.390471,-3.45E-02,-1448,-494,1529.947712,5.01E+03,3.50E-06
15250,4998.006351,-0.046961714,-1467,-506,1551.813455,5.00E+03,2.55E-06
15440,4995.936662,2.24E-02,-1480,-520,1568.693724,5.00E+03,-5.28E-06
15630,5007.85839,7.02E-02,-1495,-531,1586.501182,5.01E+03,-1.66E-06
15820,4998.944461,3.35E-02,-1512,-546,1607.563374,5.00E+03,-3.44E-06
16010,4993.450427,-0.102453948,-1529,-557,1627.295302,4.99E+03,1.11E-06
16200,4998.20591,-4.48E-02,-1542,-571,1644.32509,5.00E+03,2.51E-06
16390,5002.812973,0.012124549,-1557,-586,1663.624056,5.00E+03,-9.17E-06
16580,5003.458724,8.78E-02,-1573,-596,1682.125144,5.00E+03,-1.25E-06
16770,4991.146396,-0.111027665,-1592,-609,1704.50726,4.99E+03,9.81E-07
16960,5005.886782,-8.09E-02,-1602,-626,1719.965116,5.01E+03,1.33E-06
17150,5006.414417,-6.30E-03,-1614,-641,1736.628055,5.01E+03,1.69E-05
17340,5011.647185,1.82E-02,-1628,-652,1753.706931,5.01E+03,-5.76E-06
17530,4997.945514,-0.113947854,-1647,-664,1775.811082,5.00E+03,9.13E-07
17720,4998.945197,2.95E-02,-1661,-680,1794.803889,5.00E+03,-3.48E-06
17910,4996.399082,1.70E-02,-1676,-698,1815.538488,5.00E+03,-5.99E-06
18100,5022.288419,3.96E-02,-1684,-711,1827.94338,5.02E+03,-2.53E-06
18290,4998.576259,-4.08E-02,-1696,-726,1844.85555,5.00E+03,2.45E-06
18480,5002.467021,1.22E-02,-1709,-737,1861.142122,5.00E+03,-8.10E-06
18670,5011.904856,-7.28E-03,-1720,-748,1875.607635,5.01E+03,1.34E-05
18860,4998.643859,-3.97E-02,-1742,-761,1900.969489,5.00E+03,2.44E-06
19050,4990.496036,-4.83E-02,-1759,-779,1923.778054,4.99E+03,1.98E-06
19240,4995.544045,0.041760986,-1772,-796,1942.57561,5.00E+03,-2.27E-06
19430,4994.094004,-6.29E-02,-1786,-811,1961.508858,4.99E+03,1.49E-06
19620,4995.590365,0.040486329,-1797,-829,1979.002274,5.00E+03,-2.30E-06
19810,4998.944071,2.60E-02,-1810,-842,1996.262508,5.00E+03,-3.54E-06
20000,4995.507515,-2.42E-02,-1824,-856,2014.872701,5.00E+03,3.77E-06
20190,5005.615112,0.061715508,-1835,-872,2031.651791,5.01E+03,-1.46E-06
20380,5004.482892,0.086564632,-1849,-889,2051.614486,5.00E+03,-1.03E-06
20570,4998.945642,2.49E-02,-1863,-905,2071.181788,5.00E+03,-3.56E-06
20760,5001.056418,-2.46E-02,-1875,-922,2089.427912,5.00E+03,3.57E-06
20950,4987.284007,-1.20E-02,-1889,-941,2110.403279,4.99E+03,7.30E-06
21140,4993.696541,-3.64E-02,-1899,-955,2125.611912,4.99E+03,2.37E-06
21330,5000,0,-1909,-970,2141.303575,5.00E+03,#DIV/0!
21520,5001.054819,-2.36E-02,-1923,-984,2160.135412,5.00E+03,3.59E-06
21710,5006.185343,-2.25E-02,-1935,-1003,2179.503154,5.01E+03,3.74E-06
21900,4999.138671,-9.35E-02,-1948,-1019,2198.423299,5.00E+03,8.91E-07
22090,4998.005869,-1.21E-02,-1958,-1037,2215.656336,5.00E+03,6.82E-06
22280,5006.067712,-2.10E-02,-1967,-1052,2230.64856,5.01E+03,3.88E-06
22470,4995.936378,3.27E-02,-1981,-1069,2251.026877,5.00E+03,-2.48E-06
22660,4999.119216,-3.43E-02,-1993,-1085,2269.201181,5.00E+03,2.35E-06
22850,4995.977718,3.18E-02,-2004,-1104,2287.975524,5.00E+03,-2.51E-06
23040,5003.787682,2.41E-02,-2016,-1122,2307.1931,5.00E+03,-3.28E-06
23230,4994.605993,-9.13E-02,-2027,-1137,2324.112304,4.99E+03,8.60E-07
23420,5006.627816,1.49E-02,-2036,-1155,2340.79495,5.01E+03,-5.21E-06
23610,5000,0,-2049,-1174,2361.498888,5.00E+03,#DIV/0!
23800,5000.76756,3.29E-02,-2058,-1191,2377.781529,5.00E+03,-2.33E-06
23990,4993.994045,7.05E-02,-2070,-1210,2397.707238,4.99E+03,-1.08E-06
