,Frequency,Impedance,Phase,Real,Imaginary,Magnitude, 
52,19100.0,19527.40016974334,-14.87897290483958,-10.2,-245.8,246.01182952488338,
53,19275.0,19301.240586239997,-15.14309644634782,-10.6,-249.4,249.63123969302902,
55,19625.0,19385.5391028515,-15.70050887835824,-11.8,-248.8,249.088701559349,
56,19800.0,19305.72267284136,-15.426348296156439,-10.2,-249.2,249.4167936872058,
57,19975.0,19360.811488245243,-15.259607983037279,-9.2,-248.6,248.77750181324478,
58,20150.0,19242.137598606823,-15.42540318482248,-9.4,-250.0,250.177273387571,
59,20325.0,19277.91375643112,-15.98692930274234,-11.4,-249.8,250.06623174396842,
60,20500.0,19295.17322407064,-16.0572588311668,-11.8,-249.0,249.287235463249,
61,20675.0,19210.79261824784,-16.33909921100112,-11.4,-250.8,251.08072976979838,
62,20850.0,19122.80917172896,-16.28020042329764,-11.6,-252.4,252.670227633167,
63,21025.0,19166.81278964644,-16.11534510636792,-9.6,-252.2,252.38386827819758,
64,21200.0,19196.54224948546,-16.499649004360858,-10.2,-251.8,252.007628807827,
65,21375.0,19210.682432512658,-16.054169557274957,-8.2,-250.6,250.7367641667216,
66,21550.0,19196.777289725338,-16.692783810212102,-10.4,-251.4,251.6170885247954,
67,21725.0,19137.99616325468,-16.66853651087036,-10.0,-252.0,252.2038552218342,
68,21900.0,19032.681039871142,-16.782746043781977,-9.8,-253.6,253.79532234430522,
69,22075.0,18975.875943884617,-16.759290824023687,-9.4,-254.2,254.3758823789914,
70,22250.0,19133.998157266316,-16.2945483693357,-6.2,-252.2,252.27975512281495,
71,22425.0,19134.828398674003,-16.97086446072274,-8.6,-252.0,252.1488766285448,
72,22600.0,19231.970143978724,-17.032481229874584,-8.6,-250.0,250.1523905135898,
73,22775.0,19156.448858818003,-17.40447344431044,-10.0,-251.8,251.99928997000444,
74,22950.0,19179.3103358851,-17.49222765750448,-9.8,-251.4,251.60069131985637,
75,23125.0,19011.43234122834,-17.4801656596634,-9.0,-253.6,253.76120095520818,
76,23300.0,19040.37495742268,-17.949835080046242,-10.4,-252.8,253.0206385241892,
77,23475.0,19082.42509130002,-18.06318431192656,-10.8,-252.8,253.0391645107468,
78,23650.0,19061.23232719276,-17.963730784891318,-10.2,-252.6,252.8069515478528,
79,23825.0,18916.67534747372,-18.26242288081612,-10.6,-254.8,255.0208757776748,
80,24000.0,18902.68008758998,-17.523296931240097,-6.4,-255.0,255.10769090912999,
81,24175.0,18908.960224077822,-17.795630178243677,-8.2,-254.0,254.1462248458632,
82,24350.0,19063.055985332918,-18.40043180948076,-9.8,-253.0,253.190875653392,
