,Frequency,Impedance,Phase,Real,Imaginary,Magnitude, 
0,10000.0,20919.286036005484,-10.23672865024464,-19.2,-231.4,232.1955567620298,
1,10175.0,20507.239106798,-9.224266408470339,-13.8,-238.6,238.99906036747362,
5,10875.0,21797.614777334078,-8.630613532235294,-6.6,-220.8,220.8991730521504,
6,11050.0,21752.48515711622,-9.422970256892173,-11.4,-221.8,222.1270164925476,
8,11400.0,21300.57717411896,-9.615432137495697,-10.6,-227.0,227.25327548385258,
9,11575.0,21508.19450977294,-10.059218362187826,-11.2,-224.2,224.4827518651502,
10,11750.0,21526.88014530962,-10.53560199251206,-13.2,-223.4,223.7916853440418,
11,11925.0,21315.878020524797,-10.767292824365958,-13.4,-226.2,226.6019548781522,
12,12100.0,21276.19138193992,-10.671317230214779,-12.4,-227.0,227.34355098645455,
13,12275.0,21406.80681732144,-10.81036927954016,-12.6,-225.4,225.7534326969876,
14,12450.0,21381.59586737756,-10.96775325871986,-12.6,-224.8,225.15334275371,
15,12625.0,21372.453406164343,-11.768256708049979,-16.2,-224.6,225.19030629891057,
16,12800.0,21147.83113643594,-12.110018177708898,-17.6,-227.4,228.08129936569858,
17,12975.0,20884.952372668464,-12.160687635850302,-17.0,-231.2,231.83391586637399,
18,13150.0,20728.8829908433,-11.115587244228681,-11.6,-234.2,234.48844588284018,
19,13325.0,20959.62201737048,-10.826989398368461,-9.0,-231.2,231.375936997917,
20,13500.0,21169.310073951558,-11.13909162609844,-9.2,-227.6,227.7971721412776,
21,13675.0,21350.1149658972,-12.26079334834522,-13.4,-224.8,225.2071808570484,
22,13850.0,21200.044609276298,-12.27420076513036,-14.2,-228.4,228.84700226326123,
23,14025.0,20855.43885818146,-12.27273249263366,-14.2,-232.2,232.638477739434,
24,14200.0,20951.6349146597,-11.88829807009686,-11.0,-231.8,232.06682936734083,
25,14375.0,20966.828426628057,-11.22815546056722,-7.2,-231.0,231.1125271345226,
26,14550.0,21295.00596270432,-11.559012371905641,-7.8,-226.8,226.9344757706484,
27,14725.0,21284.892367021697,-12.26596342259576,-10.0,-226.2,226.4322228014114,
28,14900.0,21184.776929884323,-12.797365838857,-12.2,-227.4,227.73101573433678,
29,15075.0,20966.80656683594,-13.019390465626959,-13.2,-228.8,229.198911048071,
30,15250.0,21356.63142937676,-12.6626307153689,-10.6,-226.6,226.852914904295,
31,15425.0,21166.26748385452,-12.94620205889766,-11.6,-227.6,227.89680589584782,
32,15600.0,21117.532081195,-12.78208910857216,-11.0,-227.2,227.47200867785,
33,15775.0,21152.00683350098,-13.51038693675952,-13.8,-227.4,227.83062639475938,
34,15950.0,21066.31955063448,-13.67253274125444,-13.4,-228.8,229.192570466582,
35,16125.0,21029.154819137202,-13.676220805650757,-12.8,-229.6,229.95693462604777,
36,16300.0,21171.314578186,-13.93403969858048,-13.4,-227.6,227.9954422754866,
37,16475.0,21197.65914700088,-14.053252019471,-13.4,-227.4,227.79746854206738,
38,16650.0,21091.9950792853,-14.4175370953775,-14.8,-228.0,228.48366265512277,
39,16825.0,20984.213272482397,-14.52740216730892,-14.8,-230.0,230.4787369762174,
40,17000.0,20723.52360786348,-14.451662076818101,-13.8,-233.4,233.81087736014462,
41,17175.0,20812.63910753672,-14.15849766392254,-11.8,-232.4,232.70055916119,
42,17350.0,21003.397295317558,-14.174586817200938,-10.6,-229.6,229.8451140704336,
43,17525.0,21041.44252577616,-14.63691657343334,-12.6,-228.8,229.14722255438977,
44,17700.0,21117.70720278292,-15.245741179124721,-15.0,-228.8,229.295347507475,
45,17875.0,20746.7069512257,-15.36905720912684,-16.0,-232.8,233.3525596755384,
46,18050.0,20419.575423455142,-14.6386090627946,-12.0,-236.8,237.1077199995832,
47,18225.0,20719.74523682608,-14.363526312178621,-9.0,-233.6,233.7759345148526,
48,18400.0,20908.877189542523,-14.054268481506739,-6.8,-232.0,232.1025868144884,
49,18575.0,21195.26791419922,-14.39661522710232,-7.6,-227.0,227.1323472095004,
50,18750.0,21314.92509931774,-15.066616206394361,-9.8,-225.0,225.21520592536962,
51,18925.0,21193.16274077986,-15.85062282557108,-13.4,-226.0,226.3973935361208,
52,19100.0,21046.49001693004,-16.119201516082477,-14.4,-227.8,228.2576482438194,
53,19275.0,20941.3544684388,-16.39790076167078,-14.8,-229.6,230.07780509839017,
54,19450.0,20829.871648357122,-16.548113384413544,-15.2,-230.6,231.13007336239562,
55,19625.0,20807.337002128002,-16.5930546204889,-14.6,-231.6,232.0611573028246,
56,19800.0,20934.1633859629,-16.47431881347512,-13.6,-229.6,230.01092512573138,
57,19975.0,20794.18555192126,-16.55779229339754,-13.8,-231.2,231.61187375321197,
58,20150.0,20979.55498656936,-16.971602829094984,-14.8,-229.0,229.47958258246223,
59,20325.0,20916.72895253532,-17.054165382318864,-14.8,-230.0,230.47755523577098,
60,20500.0,20743.796153572337,-17.69943837900628,-17.6,-231.2,231.8808926511496,
61,20675.0,20564.9605285517,-17.597917759048162,-15.8,-234.0,234.5377848233552,
62,20850.0,20608.6475582483,-17.16967605302094,-14.4,-234.0,234.4449488960582,
63,21025.0,20621.320769655737,-17.209596059459198,-13.4,-234.2,234.58593796031082,
64,21200.0,20871.670821612322,-17.395256171676763,-13.0,-231.4,231.76918726075718,
65,21375.0,20707.7004481474,-17.581838174615743,-13.8,-232.2,232.61182548030402,
66,21550.0,20708.39309525422,-17.8633606859417,-14.4,-232.8,233.24713490009222,
67,21725.0,20618.35303828312,-18.119431170219663,-15.2,-233.6,234.0944385074302,
68,21900.0,20448.69494086496,-17.966845799097317,-14.0,-235.8,236.2179191414516,
69,22075.0,20543.103135702702,-17.812138867958204,-13.0,-234.6,234.96408262793278,
70,22250.0,20673.06077193478,-17.78332316386234,-11.8,-233.2,233.50061345560022,
71,22425.0,20712.64132022886,-18.11728079252004,-12.6,-232.6,232.9443304734246,
72,22600.0,20700.47881029122,-18.368353069081543,-13.4,-232.0,232.402844709117,
73,22775.0,20733.789004000897,-18.57658329927336,-14.0,-232.4,232.8279473463518,
74,22950.0,20533.92885261778,-18.6258059685417,-13.8,-234.6,235.01919180422078,
75,23125.0,20613.510516706483,-18.92677760786452,-14.2,-233.6,234.03933485945777,
76,23300.0,20635.656586692963,-19.13028107098182,-14.4,-233.0,233.45359409687597,
77,23475.0,20438.481923845062,-19.11654847796762,-14.4,-235.8,236.2506057898704,
78,23650.0,20550.5258597395,-19.318988857608158,-15.0,-234.0,234.481073296446,
79,23825.0,20418.458207407337,-19.47166733564496,-14.8,-235.8,236.264357339073,
80,24000.0,20095.692696104063,-19.57236652563898,-14.6,-239.4,239.84894536163978,
81,24175.0,20351.461173995856,-19.684844186246497,-15.4,-235.6,236.12961759860823,
82,24350.0,20469.69699992286,-19.39087352824916,-13.2,-235.4,235.77599646936818,
83,24525.0,20400.795335849918,-20.24816737675948,-16.0,-236.0,236.5434976614484,
84,24700.0,20300.883463882063,-20.30730435020634,-16.0,-237.0,237.54839702964802,
85,24875.0,20390.42126906708,-19.82160363367896,-13.4,-236.8,237.1884421975438,
86,25050.0,20320.00174988468,-20.22141611170364,-14.4,-237.0,237.43832554489398,
87,25225.0,20384.072316512,-20.49101541689824,-14.2,-235.6,236.03222548920422,
88,25400.0,20393.445618898462,-20.89989317917242,-16.0,-236.4,236.9440041098424,
89,25575.0,20208.10050710294,-20.825555829857556,-15.8,-237.8,238.3255599194078,
90,25750.0,20133.6316642154,-21.060419054784056,-16.0,-239.2,239.73702306224783,
91,25925.0,20146.23058263422,-20.52508202913412,-13.0,-240.0,240.35265513159962,
92,26100.0,20195.76614319598,-20.02835550268456,-9.8,-239.4,239.6030310017642,
93,26275.0,20332.945540181398,-20.65137832135778,-10.4,-236.8,237.04957746249443,
94,26450.0,20527.282013136057,-20.938164671300598,-12.2,-235.0,235.3245261734262,
95,26625.0,20509.738169363638,-21.300303354516256,-14.2,-234.4,234.83789789255042,
96,26800.0,20513.97552222564,-21.379917922676402,-15.4,-233.2,233.74724236616822,
97,26975.0,20315.31445798384,-21.69702572623448,-15.2,-236.6,237.09059966103877,
98,27150.0,20159.15553883784,-21.659913932581823,-15.6,-238.8,239.3264587852478,
99,27325.0,20149.86080791138,-21.95868189988984,-15.4,-238.6,239.09697858445838,
100,27500.0,20205.823107125158,-22.2602816151172,-15.6,-238.0,238.51121354428378,
101,27675.0,20095.304083598083,-22.20689013855,-15.6,-239.0,239.50985994171083,
102,27850.0,20125.9205975389,-22.362621429326403,-15.4,-239.2,239.6965227380702,
103,28025.0,20115.8142135813,-22.416808595450938,-15.4,-239.4,239.89973976850743,
104,28200.0,20103.09842569266,-22.440132533779078,-16.0,-238.8,239.3519673761848,
105,28375.0,19999.299994667577,-22.763590543503362,-15.8,-241.2,241.7204940351474,
106,28550.0,20110.50923637858,-22.849901658952017,-15.0,-239.2,239.6705890043858,
107,28725.0,20096.718041890803,-23.47437695448424,-16.8,-239.8,240.40079655197277,
108,28900.0,19973.4792268005,-22.9391337429467,-14.4,-240.2,240.6347717708736,
109,29075.0,20051.65818378734,-23.35182556443724,-15.8,-239.8,240.3212006248322,
110,29250.0,19934.56134353808,-23.13868883802224,-14.8,-240.8,241.2555085916344,
111,29425.0,20039.07366544598,-23.663343666712624,-16.0,-239.8,240.33407547766083,
112,29600.0,20027.12039417844,-23.82969065041304,-17.4,-239.6,240.2392553481768,
113,29775.0,19774.183340846957,-23.469701517316583,-14.8,-243.6,244.05024121704437,
114,29950.0,19826.43770006456,-23.7837301305569,-15.4,-243.2,243.68755016514197,
115,30125.0,19927.50877563174,-23.492028355188218,-13.0,-241.4,241.7521768980584,
116,30300.0,19813.38714347806,-23.77106657073178,-13.8,-242.4,242.800713802021,
117,30475.0,19893.5612582674,-24.23712372292972,-15.6,-241.6,242.10459715824476,
118,30650.0,19800.72653836502,-24.5045249120782,-16.6,-242.2,242.771911406556,
119,30825.0,19865.225564307762,-24.6256324035382,-16.6,-241.6,242.16996386321298,
120,31000.0,19851.02458737698,-24.799109540658783,-17.2,-242.6,243.21761331700299,
121,31175.0,19791.703990810838,-25.18425609650122,-17.2,-242.6,243.2254522596364,
122,31350.0,19828.57264629288,-24.71804867146316,-16.0,-242.2,242.738425598286,
123,31525.0,19680.474018325862,-25.298510415041857,-18.0,-244.4,245.0674086704002,
