Frequency,Impedance,Phase,Real,Imaginary,Magnitude,
 4000 , 56481.7769007592 ,-36.713854817095 ,-50 ,-71 , 86.8389313614579 
 4100 , 37787.542140888 ,-35.2497447111186 ,-72 ,-108 , 129.799845916704 
 4200 , 30706.7282693817 ,-26.3598705648655 ,-67 ,-145 , 159.731023912075 
 4300 , 28475.9804606034 ,-14.3049666610065 ,-38 ,-168 , 172.244012958361 
 4400 , 28847.3741172788 ,-0.548680113836269 , 3 ,-170 , 170.026468527697 
 4500 , 32993.3705462173 , 9.29673618061003 , 28 ,-146 , 148.660687473185 
 4600 , 41989.0502486562 , 19.5130494511644 , 42 ,-109 , 116.811814470969 
 4700 , 57544.6578428367 , 20.4913855501628 , 32 ,-79 , 85.2349693494401 
 4800 , 82705.9276714383 , 4.24704973873872 , 6 ,-59 , 59.3043000127309 
 4900 , 78610.5110364693 ,-23.1905640232313 ,-23 ,-58 , 62.393909959226 
 5000 , 57544.6578428367 ,-32.638716820559 ,-44 ,-73 , 85.2349693494401 
 5100 , 44210.871672397 ,-29.5106462137783 ,-52 ,-98 , 110.941425986869 
 5200 , 37618.2302879867 ,-22.2185872501478 ,-46 ,-122 , 130.384048104053 
 5300 , 37246.5243003738 ,-10.7358805287158 ,-21 ,-130 , 131.685230758806 
 5400 , 37993.3101303978 , 0.659978386873377 , 5 ,-129 , 129.096862858863 
 5500 , 42674.7919624526 , 8.96810895255425 , 21 ,-113 , 114.934764105557 
 5600 , 51825.265341543 , 14.3857187328061 , 26 ,-91 , 94.6414285606467 
 5700 , 67113.7541148414 , 15.1395670657785 , 21 ,-70 , 73.0821455623739 
 5800 , 85407.7922638295 , 5.44159039054648 , 7 ,-57 , 57.4282160614449 
 5900 , 83216.2065480006 ,-16.3032400240834 ,-15 ,-57 , 58.9406481131655 
 6000 , 67545.1134967725 ,-24.2402367936012 ,-28 ,-67 , 72.6154253585283 
 6100 , 53792.0148125129 ,-22.7776467635459 ,-33 ,-85 , 91.1811384004389 
 6200 , 48375.5888068813 ,-16.4182916355223 ,-26 ,-98 , 101.390334845093 
 6300 , 45553.8307091712 ,-7.95863381607114 ,-12 ,-107 , 107.670794554512 
 6400 , 46220.4683868023 , 1.140952171008 , 5 ,-106 , 106.117859005919 
 6500 , 50309.1246405027 , 8.48234646818361 , 17 ,-96 , 97.4935895328508 
 6600 , 57592.2416363942 , 14.108483253672 , 23 ,-82 , 85.1645466141868 
 6700 , 76891.6138960547 , 12.0408653488482 , 15 ,-62 , 63.7887137352682 
 6800 , 84754.984280608 , 8.39094952061765 , 10 ,-57 , 57.8705451849211 
 6900 , 89178.4935901492 ,-271.559677177786 , 0 ,-55 , 55 
 7000 , 82811.9534038888 ,-13.2490463634507 ,-12 ,-58 , 59.2283715798434 
 7100 , 72914.4374823682 ,-12.7025670464221 ,-13 ,-66 , 67.2681202353686 
 7200 , 66870.0554924351 ,-12.5632180398505 ,-14 ,-72 , 73.348483283569 
 7300 , 65189.2889468308 ,-6.13359844884144 ,-6 ,-75 , 75.2396172239067 
 7400 , 65374.3218936037 ,-3.08720263155129 ,-2 ,-75 , 75.0266619276108 
 7500 , 70040.2343733706 , 7.68998753683832E-02 , 2 ,-70 , 70.0285656000464 
 7600 , 75458.7253455108 ,-271.559677177786 , 0 ,-65 , 65 
 7700 , 83132.4940247153 ,-271.559677177786 , 0 ,-59 , 59 
 7800 , 85576.6210303439 ,-7.56868314624768 ,-6 ,-57 , 57.3149195236284 
 7900 , 80886.4930753848 ,-14.9084043010822 ,-14 ,-59 , 60.6382717431821 
 8000 , 76600.374529429 ,-16.0299712877143 ,-16 ,-62 , 64.0312423743285 
 8100 , 70212.2532187167 ,-14.8001971029962 ,-16 ,-68 , 69.8569967862919 
 8200 , 66299.4762145094 ,-10.8946756514571 ,-12 ,-73 , 73.9797269527267 
 8300 , 65684.2792659167 ,-9.25572891054946 ,-10 ,-74 , 74.6726188103779 
 8400 , 69054.5399277865 ,-3.17321612220826 ,-2 ,-71 , 71.028163428319 
 8500 , 75423.0305822338 ,-3.32206821296813 ,-2 ,-65 , 65.0307619515564 
 8600 , 80309.7743275806 ,-4.37523387338138 ,-3 ,-61 , 61.0737259384099 
 8700 , 86476.3381293612 ,-10.6898536706243 ,-9 ,-56 , 56.7186036499489 
 8800 , 84203.6450007815 ,-13.4483352276134 ,-12 ,-57 , 58.2494635168428 
 8900 , 77426.2528632541 ,-13.4017533033193 ,-13 ,-62 , 63.3482438588474 
 9000 , 69552.6356313378 ,-19.7376959855827 ,-22 ,-67 , 70.5195008490559 
 9100 , 66500.2643321815 ,-14.0884848970534 ,-16 ,-72 , 73.7563556583431 
 9200 , 65426.6469406254 ,-10.7707037291518 ,-12 ,-74 , 74.9666592559653 
 9300 , 65114.5668170572 ,-6.89183607050109 ,-7 ,-75 , 75.3259583410659 
 9400 , 70061.6676072196 ,-2.37813265111953 ,-1 ,-70 , 70.0071424927486 
 9500 , 76628.4144453932 ,-0.664503455940462 , 1 ,-64 , 64.007812023221 
 9600 , 77766.1201581026 ,-4.28598818308802 ,-3 ,-63 , 63.0713881248859 
 9700 , 85576.6210303439 ,-7.56868314624768 ,-6 ,-57 , 57.3149195236284 
 9800 , 83084.7715787478 ,-12.298574289041 ,-11 ,-58 , 59.0338885725818 
 9900 , 78369.3122750164 ,-14.485676312556 ,-14 ,-61 , 62.5859409132754 
 10000 , 73271.545055943 ,-15.3883281600123 ,-16 ,-65 , 66.9402718847182 
 10100 , 71437.7935512822 ,-14.1789994813208 ,-15 ,-67 , 68.6585755750875 
